sentence,snippets,target,sentiment_score,aspects,format,label
Insight hires Aviva's David Hillier for multi-asset team,['hires Aviva's David Hillier for multi-asset team'],Insight,0.137,['Corporate/Appointment/Executive Appointment'],headline,Neutral
Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty https://t.co/9Q7cI79IYO $SBUX,['Digital Strategy To Drive Significant Growth With Customer Loyalty'],SBUX,0.335,['Corporate/Strategy'],post,Positive
#Fintech provider $CAFN Cachet Financial Solutions Surging Forward today post earnings Up +13.26% https://t.co/9BJ3csk2i9 $JKHY $FISV #Momo,['Surging Forward today post earnings'],CAFN,0.418,['Corporate/Financial'],post,Positive
Is #Facebook's user engagement falling? https://t.co/tqMMt7N16X $FB https://t.co/sedqRWgdkt,"[""Is #Facebook's user engagement falling?""]",FB,-0.39,['Corporate/Strategy/Business Outlook'],post,Negative
Juniper tumbles on Q1 warning; Cisco also lower $JNPR $CSCO https://t.co/bGvIntk43h,['tumbles on Q1 warning'],JNPR,-0.366,['Corporate/Financial/Financial Results/Earnings/Profit Warning'],post,Negative
"Fastenal misses by $0.01, misses on revenue $FAST #NYSE https://t.co/63JHQ7pwMN",['misses on revenue'],FAST,-0.374,['Corporate/Financial/Financial Results'],post,Negative
$BBRY Actually lost .03c per share if U incl VZ as no debt and 3.1 in Cash.,['lost .03c per share'],BBRY,-0.238,['Corporate/Financial/Financial Results/Earnings'],post,Neutral
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",['Traffic Up'],Aer Lingus,0.284,['Corporate/Sales'],headline,Neutral
"$NFLX small pos, short 180 wkly puts.","['small pos, short 180 wkly puts.']",NFLX,-0.597,['Stock/Options/Strategies/Bear Put Spread'],post,Negative
Just stumbled upon this amazing chart - $OFIX - holy guac. SUPER overbought. http://stks.co/e0PX1,['SUPER overbought.'],OFIX,-0.497,['Stock/Price Action/Bearish'],post,Negative
"Aberdeen AM posts H1 outflows, says conditions to remain challenging",['says conditions to remain challenging'],Aberdeen AM,-0.364,['Market/Conditions'],headline,Negative
easyJet leads Britain's FTSE lower as global bond rout resumes,['leads Britain's FTSE lower'],easyJet,-0.495,['Market/Volatility'],headline,Negative
Shell and BG Shareholders to Vote on Deal at End of January,['Shareholders to Vote on Deal at End of January'],Shell,0.0,['Corporate/Sales/Deal'],headline,Neutral
Buyback not trending right ( $CPIX spending more as shares pricier). Hopefully will pull back w 6.87 Q2 closing VWAP,['will pull back'],CPIX,-0.231,['Stock/Price Action/Bearish/Bearish Behavior'],post,Neutral
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,['to buy Baxalta for $32 billion after 6-month pursuit'],Shire,0.437,['Corporate/M&A/M&A'],headline,Positive
$TROW Ascending triangle gives a bullish bias to this chart. Breakout above 84 will be positive http://stks.co/g0ls5,['Ascending triangle gives a bullish bias to this chart'],TROW,0.544,['Stock/Technical Analysis'],post,Positive
$FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.,"[""Lot's of sellers trying to get out.""]",FB,-0.215,['Stock/Price Action/Bearish/Bearish Behavior'],post,Neutral
AstraZeneca profit down as sales of stalwarts fade,['as sales of stalwarts fade'],AstraZeneca,-0.405,['Corporate/Sales'],headline,Negative
AB InBev attacks SABMiller bid rebuffal,['attacks SABMiller bid rebuffal'],SABMiller,-0.158,['Corporate/M&A/M&A'],headline,Neutral
"Apple expected to launch new iPhone, iPad today $AAPL https://t.co/XfnICWeBeG",['Apple expected to launch new iPhone'],AAPL,0.264,['Corporate/Strategy/New Product'],post,Neutral
$TSLA yeah lets go down to 230s lol,['yeah lets go down to 230s lol'],TSLA,-0.355,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
"$INTU is in the process of streamlining its structure, especially through divestment of non-core businesses   https://t.co/dR5baNun2u",['is expanding its research facilities'],INTU,0.229,['Corporate/Strategy'],post,Neutral
Tesco sells Blinkbox and broadband service to TalkTalk,['sells Blinkbox and broadband service to'],TalkTalk,0.136,['Corporate/Sales/Deal'],headline,Neutral
$SPY Long 1/2 position 137.89,['Long 1/2 position'],SPY,0.428,['Stock/Price Action/Bullish/Bull Position'],post,Positive
Royal Mail turnaround proving expensive in tough UK market,['in tough UK market'],Royal Mail,-0.057,['Market/Market'],headline,Neutral
"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources",['China's CNPC to unveil oil alliance - sources'],CNPC,0.318,['Corporate/Rumors/Scoop'],headline,Positive
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,['Admiral blows hot and cold'],Friends Life,0.053,['Stock/Price Action/Volatility/Stock Volatility'],headline,Neutral
Britain's FTSE gets lift from Prudential results,['gets lift from Prudential results'],Prudential,0.582,['Corporate/Financial'],headline,Positive
$SIGA Bid for Reargument Denied by Judge,['Bid for Reargument Denied by Judge'],SIGA,-0.354,['Corporate/Legal'],post,Negative
$vxx starting to creep up while $spy sits near hod ...,['sits near hod'],SPY,0.141,['Stock/Price Action/Bullish/Bullish Behavior'],post,Neutral
"GlaxoSmithKline targets growth across units, scraps ViiV IPO",['scraps ViiV IPO'],GlaxoSmithKline,0.229,['Stock/IPO'],headline,Neutral
$BWLD bearish engulfing candle,['bearish engulfing candle'],BWLD,-0.532,['Stock/Technical Analysis'],post,Negative
$AWR Standard & Poor's Affirms 'A+' Credit Rating at American States Water Company and Golden State Water Company http://stks.co/f2P94,"[""Affirms 'A+' Credit Rating""]",AWR,0.526,['Stock/Coverage/Credit Rating'],post,Positive
$FB still a dog going much lower this week,['still a dog going much lower this week'],FB,-0.554,['Stock/Price Action/Bearish'],post,Negative
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin","['Cuts 2015 Budget, Plans To Divest From Lonmin']",Lonmin,-0.314,['Corporate/Strategy/Divestment'],headline,Negative
$AMZN Trailing 12 months operating cash flow rose 48% to $4.98 billion & free cash flow decreased 63% to $388 million http://stks.co/c06zG,['Trailing 12 months operating cash flow'],AMZN,-0.009,['Corporate/Financial/Accounting/Cash Flow'],post,Neutral
"$YHOO fishy action. New party interested (DailyMail) bounce & retreats. Not short by any means, but action questions big up move. Thoughts?","['bounce & retreats. Not short by any means, but action questions big up move.']",YHOO,-0.043,['Stock/Price Action'],post,Neutral
Shire says internal synergy goals from Baxalta deal higher,['says internal synergy goals from Baxalta deal higher'],Shire,0.287,['Corporate/Company Communication/Dividend'],headline,Neutral
$EFUT hod  posted buy pm at $4.40,['hod poste'],EFUT,0.354,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
$OSUR up 33% since 6/25 buy signal. resistance 5.33 - expect 1. pullback 2nd half of day or 2. break abov 5.33 & continue rally for 4-5 days,['up 33% since 6/25 buy signa'],OSUR,0.552,['Stock/Signal/Buy Signal'],post,Positive
Copper market may get a 2003-style supply shock from Glencore closures,['Copper market'],Glencore,-0.571,['Market/Market'],headline,Negative
"potential defect with third-row seat belts. Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/YVYDncdNdi",['potential defect with third-row seat belts. Tesla Motors recalls'],TSLA,-0.366,['Corporate/Risks/Product Recall'],post,Negative
$TWTR The best scenario going forward is this stock slowly falling everyday....Which is quite probable...,['this stock slowly falling everyday'],TWTR,-0.264,['Stock/Price Action/Bearish/Bearish Behaviour'],post,Neutral
RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,['Markets Are Still Acting Weak'],XLF,-0.443,['Stock/Price Action'],post,Negative
$RDC Rowan Expands Share Repurchase Program to $150 million,['Rowan Expands Share Repurchase Program'],RDC,0.285,['Stock/Fundamentals/Share Buyback'],post,Neutral
"$SLV -4.44% at 18 now AWFUL, down from 42.50","['AWFUL, down from 42.50']",SLV,-0.591,['Stock/Price Action/Bearish'],post,Negative
$GEVO PLUNGING!  Back to $3.55.,['PLUNGING'],GEVO,-0.628,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
$TSLA recall,['recall'],TSLA,-0.227,['Corporate/Risks/Product Recall'],post,Neutral
UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,['Stifel to buy former Lehman brokerage'],Lehman,0.164,['Corporate/M&A/Proposed Merger'],headline,Neutral
"$SBUX down PM, from $DB downgrade.. PT cut from 70 to $64","['down PM, from $DB downgrade']",SBUX,-0.531,['Stock/Coverage/AnalystRatings/Downgrade'],post,Negative
"$ESI on lows, down $1.50 to $2.50 BK a real possibility","['on lows, down $1.50 to $2.50']",ESI,-0.465,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,['Dividend Play'],COST,0.354,['Corporate/Dividend Policy'],post,Positive
$GS is looking weak while this market is moving higher not a good sign. Unless $gs can get above 157. early short below 154.00 today.,['is looking weak while this market is moving higher not a good sign'],GS,-0.398,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
$ROST Ross Stores Upgraded to Outperform at RBC Capital Markets http://stks.co/j0Q9t,['Upgraded to Outperform'],ROST,0.565,['Stock/Coverage/AnalystRatings/Upgrade'],post,Positive
Morrisons faces festive sales test,['festive sales test'],Morrisons,-0.113,['Corporate/Sales'],headline,Neutral
US dollar wipes out sales gains for SABMiller,['wipes out sales gains for SABMiller'],SABMiller,-0.582,['Corporate/Sales/Sales'],headline,Negative
$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,['great short setting up'],SPY,-0.406,['Stock/Price Action'],post,Negative
$ES_F. Nice little cup-and-handle shaping up on the 15-minute. End-of-day $SPY $SPX favours a good day for the index. Will we see a gap open,['Nice little cup-and-handle shaping up on the 15-minute'],SPY,0.341,['Stock/Technical Analysis'],post,Positive
UPDATE 1-Pearson expects to grow this year after solid end to 2014,['to grow this year after solid end to 2014'],Pearson,0.446,['Stock/Fundamentals'],headline,Positive
AstraZeneca sells Caprelsa rights to Sanofi unit,['sells Caprelsa rights to Sanofi unit'],Sanofi,0.233,['Corporate/Sales/Deal'],headline,Neutral
Added long at friday close  $SPY $LABU $BLUE $AMZN,['Added long at friday close'],SPY,0.513,['Stock/Price Action/Bullish/Bull Position'],post,Positive
2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,['2 Turnaround Buys'],Home Retail Group,0.492,['Economy/Central Banks/Monetary Policy/Monetary Policy - SNB'],headline,Positive
"$ADBE technical alerts: Expansion Breakout, Gilligan's Island Sell Setup, Volume Surge, and New 52... https://t.co/LxX66tknFH",['technical alerts'],ADBE,0.208,['Stock/Technical Analysis'],post,Neutral
$PYPL great vol flow trade here.. Love this company long time.,['great vol flow trade here'],PYPL,0.408,['Stock/Price Action/Bullish'],post,Positive
"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",['to Withdraw Staff From'],Statoil,-0.242,['Corporate/Appointment/Staff Hiring'],headline,Neutral
X marks the recall: Tesla recalls #ModelX for faulty 3rd row seat. https://t.co/HSqdoVry07 $TSLA https://t.co/4Cs3CNZEBB,['recalls #ModelX for faulty 3rd row seat'],TSLA,-0.26,['Corporate/Risks/Product Recall'],post,Neutral
Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,['dividend - 3%'],GOOG,-0.066,['Corporate/Dividend Policy'],post,Neutral
Can Christmas Save Sainsbury's plc And Tesco plc?,['Can Christmas Save..... ?'],Tesco,-0.175,['Corporate/Rumors/Rumors'],headline,Neutral
Long $PCLN,['Long'],PCLN,0.663,['Stock/Price Action/Bullish/Bull Position'],post,Positive
$CHRM Loooooongggggg base,['Loooooongggggg base'],CHRM,0.557,['Stock/Price Action/Bullish'],post,Positive
$AXP Looking for continuation with volume increase http://stks.co/c8sR,['Looking for continuation with volume increase'],AXP,0.308,['Stock/Price Action'],post,Positive
CORRECTED-Shire to buy Dyax for about $5.9 bln,['Shire to buy Dyax for about $5.9 bln'],Shire,0.402,['Corporate/M&A/M&A'],headline,Positive
"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",['MACD crossover a half-a-hair away on the weekly'],AAPL,0.498,['Stock/Technical Analysis/MACD'],post,Positive
"UK housing market steadies after Brexit dip, Persimmon says",['housing market'],Perssimon,0.339,['Market/Market'],headline,Positive
"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",['Agree on Plan for BPI Angola Exposure'],CaixaBank,0.244,['Corporate/Strategy/Company Agreement'],headline,Neutral
$BBRY Sierra. Has a great cash balance and impressive growth rate.Would be a wonderful marriage!,['great cash balance and impressive growth rate'],BBRY,0.493,['Corporate/Financial/Accounting/Cash Reserves'],post,Positive
HSBC Says Unit to Book $585 Million Charge on Settlement,['$585 Million Charge on Settlement'],HSBC,-0.434,['Corporate/Legal'],headline,Negative
"Isolationism? Another Sell Rating, Sell Ratings On SPY, QQQ, IWM And Several Companies https://t.co/j35FNnx744 $AAPL #APPLE $AXP $BAC","['Another Sell Rating, Sell Ratings On']",BAC,-0.513,['Stock/Coverage/AnalystRatings/Downgrade'],post,Negative
Randgold profit hit by poor gold price but dividend still increases,['dividend still increases'],Rangold,-0.052,['Corporate/Dividend Policy'],headline,Neutral
AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,['Explores Potential Deal '],AstraZeneca,0.372,['Corporate/M&A/Joint Venture'],headline,Positive
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,['closes in on new chairman'],Dixons Carphone,0.129,['Corporate/Appointment'],headline,Neutral
Tesco shares jump 6% after Christmas sales beat expectations,['jump 6% after Christmas sales beat expectations'],Tesco,0.814,['Corporate/Sales'],headline,Positive
Double bottom with handle buy point of 29.51 $IP http://chart.ly/akvujxh,['Double bottom with handle buy point'],IP,0.446,['Stock/Technical Analysis'],post,Positive
Morrisons and Debenhams surprise City with Christmas bounce back,['with Christmas bounce back'],Debenhams,0.573,['Stock/Price Action/Volatility'],headline,Positive
"$AGN and $PYPL under pressure along with the market, however there were bullish options trades in both this morning https://t.co/9xG5W8nONT",['under pressure along with the market'],PYPL,0.014,['Stock/Price Action/Bearish/Bearish Behavior'],post,Neutral
@1nvestor: $SODA has a 42.71% Float Short. LoL  http://stks.co/e0DfP,['has a 42.71% Float Short'],SODA,-0.392,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
$NFLX +3% of the lows,['of the lows'],NFLX,0.323,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
Deutsche Bank Downgraded Starbucks Co. $SBUX https://t.co/QqlEvVwPMV https://t.co/f2PdQjuTHa,['Deutsche Bank Downgraded Starbucks'],SBUX,-0.611,['Stock/Coverage/AnalystRatings/Downgrade'],post,Negative
"Tesla Motors recalls 2,700 Model X SUVs https://t.co/BFWS3DbM0U $TSLA","['recalls 2,700 Model X SUVs']",TSLA,-0.424,['Corporate/Risks/Product Recall'],post,Negative
"Micron Technology Inc #NASDAQ: $MU down 2.3% today and down 8.9% since being put on ""The Short"" https://t.co/EQQLTfUiOU","['down 2.3% today and down 8.9% since being put on ""The Short""']",MU,-0.469,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
Surprising to see $JWN and $SKS sales numbers still holding up so well. I guess the high end might not be a concern after all.,['sales numbers still holding up so well'],SKS,0.315,['Corporate/Sales'],post,Positive
Equity indexes working on a positive engulfing for March. $SML $RUT $IWC $SMH $SOX  Small-caps / semis with a fakeout before the b/out.,['Small-caps / semis with a fakeout before the b/out.'],SOX,0.308,['Stock/Price Action/Bullish'],post,Positive
Tesco sales recover as focus returns to core business,['sales recover'],Tesco,0.35,['Corporate/Sales'],headline,Positive
"Despite sales growth, UK's Tesco cautions recovery to be bumpy","['Despite sales growth,']",Tesco,-0.077,['Corporate/Sales'],headline,Neutral
$GLD http://stks.co/44ow On closer inspection.  Resistance 10 points north at 200d and downward trendline. Chart 2 of 2.,['Resistance 10 points north at 200d and downward trendline'],GLD,-0.143,['Stock/Technical Analysis'],post,Neutral
$SKH http://stks.co/163e Long setup. Watch for continuation and volume expansion here. Hot sector.,['Long setup. Watch for continuation and volume expansion here.'],SKH,0.622,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
"FTSE 100 falls as China devaluation hits Burberry, mining stocks",['FTSE 100 falls as'],Burberry,-0.479,['Market/Volatility'],headline,Negative
Aviva shuts Friends Life head office in rapid integration move,['shuts Friends Life head office in rapid integration move'],Friends Life,-0.09,['Corporate/Strategy/Corporate Expansion'],headline,Neutral
$GOOG Testing the 200 day after some consolidation http://stks.co/h0cPJ,['Testing the 200 day after some consolidation'],GOOG,0.285,['Stock/Technical Analysis'],post,Neutral
"@IfHeDiesHeDies: @Bullhorn334: $ZNGA shorts are getting nervous""""",['shorts are getting nervous'],ZNGA,0.366,['Stock/Price Action/Bullish'],post,Positive
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT","['Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT']",Centrica,0.195,['Corporate/Appointment'],headline,Neutral
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,['Shares Rise'],Standard Chartered,0.556,['Stock/Price Action/Bullish/Bullish Behaviour'],headline,Positive
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,['LSE surges as ICE says mulling offer'],ICE,0.226,['Corporate/M&A'],headline,Neutral
Tesco leads leap in FTSE 100; Marks & Spencer drops,['Tesco leads leap in FTSE 100; '],Tesco,0.389,['Stock/Technical Analysis/Trend/Trending up'],headline,Positive
$LULU #Outlook #Q1 2013 #lost revenue in the range of $12 million to $17 million -not good,['#lost revenue in the range of $12 million to $17 million -not good'],LULU,-0.43,['Corporate/Sales'],post,Negative
$TSLA I see more downside in next two weeks be careful -20 dollars drop potential vs +10 up moved,['I see more downside in next two weeks'],TSLA,-0.477,['Stock/Price Action/Bearish'],post,Negative
Tesco sells half of stake in ecommerce site Lazada to Alibaba for ÃÂ£90m,['sells half of stake in ecommerce site Lazada to Alibaba for ÃÂ£90m'],Lazada,-0.038,['Stock/Price Action/Volatility/Sell-Off'],headline,Neutral
"Notable gainers among liquid option names this morning include $STX (+7.0%), $NEM (+4.6%), $WDC (+4.2%), $X (+4.1%), and $GME (+3.4%),",['Notable gainers among liquid option names this morning'],X,0.513,['Stock/Options'],post,Positive
CompaniesHome Retail trims gains but is considered 'in play',['trims gains but is considered 'in play''],Home Retail,0.135,['Stock/Price Action'],headline,Neutral
Meggitt share price tumbles as profit falls in 'challenging year',['tumbles as profit falls in 'challenging year''],Meggitt,-0.854,['Stock/Price Action'],headline,Negative
"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA","['recalling 2,700 Model X cars']",TSLA,-0.291,['Corporate/Risks/Product Recall'],post,Neutral
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,['says to partner with Kirin if'],SABMiller,0.577,['Corporate/Sales/Partnership'],headline,Positive
Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,['Lender Cuts Dividends to Shore Up Capita'],Barclays,0.261,['Corporate/Dividend Policy'],headline,Neutral
$BOBE down $2.84  premarket,['down $2.84  premarket'],BOBE,-0.512,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
Morning Agenda: Shire's Deal for NPS,['Shire's Deal for NPS'],Shire,0.195,['Corporate/Sales/Deal'],headline,Neutral
New recommendation from Carl Kirst of BMO Capital Markets for $WMB is BUY.Price target is $62:http://stks.co/t0S0r,['New recommendation from Carl Kirst of BMO Capital Markets for'],WMB,0.566,['Stock/Coverage/AnalystRatings'],post,Positive
$SBUX downgraded to neutral at Deutsche Bank. Price target reduced to $64 from $70.,['downgraded to neutral'],SBUX,-0.446,['Stock/Coverage/AnalystRatings/Downgrade'],post,Negative
Companies Thetrainline.com announces arrival of London IPO,['announces arrival of London IPO'],Thetrainline.com,0.245,['Stock/IPO'],headline,Neutral
Berkshire Hathaway names Kara Raiguel to lead General Re unit,['names Kara Raiguel to lead General Re unit'],Berkshire,0.077,['Corporate/Appointment'],headline,Neutral
$UTSI http://stks.co/15uR Long setup. Reported very good earnings.,['Reported very good earnings.'],UTSI,0.63,['Corporate/Financial/Financial Results/Earnings'],post,Positive
"$AAPL is now beaten down, hated, etc. / hhhmm opposite of 700> what happens next?","['is now beaten down, hated']",AAPL,-0.303,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
Johnson Matthey profit falls but dividend rises,['but dividend rises'],Johnson Matthey,0.0,['Corporate/Dividend Policy'],headline,Neutral
Costco: A Premier Retail Dividend Play https://t.co/J3UhTs022M $COST,['Dividend Play'],COST,0.463,['Corporate/Dividend Policy'],post,Positive
"$AAPL bounces off support, it seems",['bounces off support'],AAPL,0.443,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
$FB & $TSLA cracking lower early. $short #correction #stocks,['cracking lower earl'],TSLA,-0.511,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano,['Signs China Manufacturing Deal With Desano'],Glaxo,0.284,['Corporate/Sales/Partnership'],headline,Neutral
Entertainment One dispels ITV takeover rumours,['One dispels ITV takeover rumours'],Entertainment One,0.138,['Corporate/Rumors'],headline,Neutral
CompaniesMeggitt profits hit by weak energy and military markets,['profits hit by weak energy and military markets'],Meggitt,-0.302,['Market/Market'],headline,Negative
"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",['faces a different technical test today'],NFLX,0.102,['Stock/Technical Analysis'],post,Neutral
Passengers rise at EasyJet and Aer Lingus,['rise at EasyJet and Aer Lingus'],EasyJet,0.329,['Corporate/Sales/Sales'],headline,Positive
Zurich Insurance Considering Offer for UK Rival RSA Insurance,['Insurance Considering Offer for UK Rival RSA Insurance'],Zurich Insurance,0.25,['Corporate/Rumors/Rumors'],headline,Neutral
$aapl key is to breakout above 460 on solid volume or else it's a no trade for now,['key is to breakout above 460 on solid volume'],AAPL,0.123,['Stock/Technical Analysis/Breakout'],post,Neutral
"$SDS +1.46% 15.32, picking up some speed. May 16 calls now +35% .19: http://stks.co/3eiK, Next week $16 calls .11c: http://stks.co/3eiL",['picking up some speed. May 16 calls now +35%H'],SDS,0.41,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
RSA Insurance Hires Towergate's Egan as Chief Financial Officer,['Insurance Hires Towergate's Egan as Chief Financial Officer'],Towergate,0.002,['Corporate/Appointment/Executive Appointment'],headline,Neutral
"Royal Mail 'breached competition law' over delivery service changes, Ofcom claims",['breached competition law'],Royal Mail,-0.315,['Corporate/Legal'],headline,Negative
$TSLA announces a recall and the stock doesn't sell off. This stock is teflon. Won't last forever.,['announces a recall'],TSLA,0.213,['Corporate/Risks/Product Recall'],post,Neutral
SAB's Chairman Digs In With Board Divided on InBev Offer,['Digs In With Board Divided on InBev Offer'],SABMiller,0.016,['Corporate/Reputation/Dispute'],headline,Neutral
Novartis buys remaining rights to GSK treatment in deal up to $1 billion,['buys remaining rights to GSK treatment in deal up to $1 billion'],Novartis,0.217,['Corporate/Sales/Deal'],headline,Neutral
"Last month we added to our $GILD position and started a new one in $BWLD We see slow, steady, unspectacular growth going forward near term","['We see slow, steady, unspectacular growth going forward near term']",GILD,0.422,['Stock/Fundamentals'],post,Positive
Locked in some $FB puts for nice gain,['Locked in some $FB puts'],FB,-0.524,['Stock/Price Action/Bearish/Bear Position'],post,Negative
"Britain's FTSE steadies, supported by Dixons Carphone","['FTSE steadies, supported by Dixons Carphone']",Dixons Carphone,0.329,['Stock/Price Action'],headline,Positive
$CRK time to accumulate for a long position with far more upside than downside,['time to accumulate for a long position'],CRK,0.668,['Stock/Price Action/Bullish/Bull Position'],post,Positive
Barclays appoints JPMorgan's Paul Compton as new COO,['appoints JPMorgan's Paul Compton as new COO'],Barclays,0.036,['Corporate/Appointment'],headline,Neutral
"$GMCR with the way this has been acting, it may fall to 65 today, horrible action since it hit 70 yesterday",['horrible action since it hit 70 yesterday'],GMCR,-0.51,['Stock/Price Action/Bearish'],post,Negative
pretty steady accumulation off support today.  Purdy. $AGU,['pretty steady accumulation off support today'],AGU,0.464,['Stock/Price Action'],post,Positive
$ARIA Bounce Player! Long above $6.17 http://stks.co/q0WfF,['Bounce Player!'],ARIA,0.383,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
Is It Worth Investing In Tesco PLC And Prudential plc Now?,['Investing In Tesco PLC And Prudential plc Now?'],Tesco PLC,0.161,['Corporate/Strategy/Investment'],headline,Neutral
My $DWA play up 6% today. I'm still skeptical. Will take profits. Not a time cheer,"[""I'm still skeptical. Will take profits""]",DWA,-0.088,['Stock/Price Action/Bearish'],post,Neutral
"$QCOM The indicator RSI is over 50, which stands at 56.1, an upward movement is expected. https://t.co/yfa9jcUsQa",['RSI is over 50'],QCOM,0.387,['Stock/Technical Analysis'],post,Positive
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",['No real aspect?'],Aviva,0.324,['Corporate/Company Communication'],headline,Positive
Daily Mail parent company in talks with potential partners about joint bid for Yahoo's internet assets: https://t.co/mK7MEMtADT $YHOO,['parent company in talks with potential partners'],YHOO,0.228,['Corporate/M&A'],post,Neutral
"SiriusXM added 465,000 net new subscribers in the first quarter of 2016 $SIRI #CEO #sales #marketresearch #tech #entrepreneur #Speaker","['added 465,000 net new subscribers in the first quarter']",SIRI,0.466,['Corporate/Sales'],post,Positive
Lloyds to cut 945 jobs as part of three-year restructuring strategy,['as part of three-year restructuring strategy'],Lloyds,-0.532,['Corporate/Strategy/Reorganization'],headline,Negative
long $AAPL 107 calls @ .40,['long'],AAPL,0.613,['Stock/Price Action/Bullish/Bull Position'],post,Positive
StanChart and RBS struggle in Bank of England stress tests,['RBS struggle in Bank of England stress tests'],RBS,-0.738,['Economy/Central Banks'],headline,Negative
City spirits sink after Diageo comes up short with sales slide,['omes up short with sales slide'],Diageo,-0.521,['Corporate/Sales'],headline,Negative
$AAPL weekly still under the 50 moving average and creating a lower high. https://t.co/vT7ppzY2UY,['weekly still under the 50 moving average and creating a lower high'],AAPL,-0.215,['Stock/Price Action/Bearish/Bearish Behavior'],post,Neutral
Morrisons finance chief to fill gap as CEO leaves early,['fill gap as CEO leaves'],Morrisons,-0.114,['Corporate/Appointment'],headline,Neutral
"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion","['AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion']",ZS Pharma,0.468,['Corporate/M&A/M&A'],headline,Positive
"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",['Reports Strong 2015 Growth'],WPP,0.555,['Stock/Fundamentals'],headline,Positive
$FB i guess they want it down look at the those sell orders,['guess they want it down look at the those sell orders'],FB,-0.465,['Stock/Price Action/Bearish/Bearish Behaviour'],post,Negative
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,['to pay first dividend since rescue'],Lloyds,0.522,['Corporate/Dividend Policy/Dividend'],headline,Positive
"$AAPL Stock Climbs as Barron's Sees 40% Upside, Jim Cramer's Take  https://t.co/lKlD9mVKBQ","[""Stock Climbs as Barron's Sees 40% Upside""]",AAPL,0.517,['Stock/Coverage/AnalystRatings/Upgrade'],post,Positive
"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",['Isabel dos Santos Reach Agreement Over Angola Exposure'],CaixaBank,0.243,['Corporate/Strategy/Company Agreement'],headline,Neutral
Entering long Lockheed Martin $LMT at Thursday's open. http://stks.co/eXtA,['Entering long'],LMT,0.627,['Stock/Price Action/Bullish/Bull Position'],post,Positive
